2024-08-15 10:16:06 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::ffff:172.50.0.61
2024-08-15 10:16:06 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::ffff:172.50.0.61
2024-08-15 10:16:06 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::ffff:172.50.0.61
2024-08-15 10:16:06 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::ffff:172.50.0.61
2024-08-15 10:16:06 [app] info: Method: GET, URL: /api-docs/favicon-32x32.png, IP: ::ffff:172.50.0.61
2024-08-15 10:16:19 [app] info: Method: GET, URL: /api/brands, IP: ::ffff:172.50.0.61
2024-08-15 10:16:52 [app] info: Method: GET, URL: /api/brands, IP: ::ffff:172.50.0.61
2024-08-15 10:16:58 [app] info: Method: GET, URL: /api/brands, IP: ::ffff:172.50.0.61
2024-08-15 10:17:34 [app] info: Method: GET, URL: /api-docs/, IP: ::ffff:172.50.0.61
2024-08-15 10:17:34 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::ffff:172.50.0.61
2024-08-15 10:17:34 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::ffff:172.50.0.61
2024-08-15 10:17:34 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::ffff:172.50.0.61
2024-08-15 10:17:34 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::ffff:172.50.0.61
2024-08-15 10:17:40 [app] info: Method: GET, URL: /api/brands, IP: ::ffff:172.50.0.61
2024-08-15 10:18:14 [app] info: Method: GET, URL: /api/brands/275, IP: ::ffff:172.50.0.61
2024-08-15 10:18:15 [app] info: Method: GET, URL: /api/brands/275, IP: ::ffff:172.50.0.61
2024-08-15 10:18:27 [app] info: Method: GET, URL: /api/brands/name/BYD, IP: ::ffff:172.50.0.61
2024-08-15 10:18:58 [app] info: Method: GET, URL: /api/brands/3033/costs, IP: ::ffff:172.50.0.61
2024-08-15 10:19:33 [app] info: Method: GET, URL: /api/brands/3033/costs, IP: ::ffff:172.50.0.129
2024-08-15 10:19:54 [app] info: Method: GET, URL: /api/brands/3033/costs, IP: ::ffff:172.50.0.129
2024-08-15 10:21:56 [app] info: Method: GET, URL: /api/brands/3033/costs, IP: ::ffff:172.50.0.129
2024-08-15 10:22:09 [app] info: Method: GET, URL: /api/brands/3033/costs, IP: ::ffff:172.50.0.61
2024-08-15 10:22:56 [app] info: Method: GET, URL: /api/brands/3033/costs, IP: ::ffff:172.50.0.129
2024-08-15 10:22:58 [app] info: Method: GET, URL: /api/brands/3033/costs, IP: ::ffff:172.50.0.129
2024-08-15 10:24:02 [app] info: Method: GET, URL: /api-docs/, IP: ::ffff:172.50.0.129
2024-08-15 10:24:02 [app] info: Method: GET, URL: /api-docs/swagger-ui-bundle.js, IP: ::ffff:172.50.0.129
2024-08-15 10:24:02 [app] info: Method: GET, URL: /api-docs/swagger-ui.css, IP: ::ffff:172.50.0.129
2024-08-15 10:24:02 [app] info: Method: GET, URL: /api-docs/swagger-ui-standalone-preset.js, IP: ::ffff:172.50.0.129
2024-08-15 10:24:02 [app] info: Method: GET, URL: /api-docs/swagger-ui-init.js, IP: ::ffff:172.50.0.129
2024-08-15 10:24:07 [app] info: Method: GET, URL: /api/brands/3033/costs, IP: ::ffff:172.50.0.129
2024-08-15 10:25:57 [app] info: Method: GET, URL: /api/brands/3033/costs, IP: ::ffff:172.50.0.129
2024-08-15 10:26:00 [app] info: Method: GET, URL: /api-docs/, IP: ::ffff:172.50.0.129
